Depth  Name        #Inst  Area (um^2)
-------------------------------------
0      rc_16bit    16     314.8704   
1      rc_4        4      78.7176    
1      rc_1        4      78.7176    
1      rc_2        4      78.7176    
1      rc_3        4      78.7176    
2      rc_2/FA3    1      19.6794    
2      rc_2/FA4    1      19.6794    
2      rc_3/FA4    1      19.6794    
2      rc_4/FA2    1      19.6794    
2      rc_1/FA2    1      19.6794    
2      rc_3/FA1    1      19.6794    
2      rc_2/FA2    1      19.6794    
2      rc_4/FA4    1      19.6794    
2      rc_3/FA3    1      19.6794    
2      rc_1/FA4    1      19.6794    
2      rc_4/FA1    1      19.6794    
2      rc_1/FA1    1      19.6794    
2      rc_2/FA1    1      19.6794    
2      rc_4/FA3    1      19.6794    
2      rc_1/FA3    1      19.6794    
2      rc_3/FA2    1      19.6794    
